Matrix Size, Kernel GFLOPS, cuBLAS GFLOPS
32, 0.002, 0.002
64, 3.850, 12.218
128, 49.951, 11.958
256, 224.246, 65.129
512, 482.603, 548.921
1024, 3322.879, 2753.862
2048, 4831.843, 6660.847
