Matrix Size, Kernel GFLOPS, cuBLAS GFLOPS
32, 0.005, 0.002
64, 30.118, 12.564
128, 117.029, 116.716
256, 304.023, 724.155
512, 551.447, 3171.497
1024, 852.793, 5831.497
2048, 908.892, 6865.006
